X,state,county_name,county.FIPS,date,female,below_18,above_65,median_house_income,population,driving_alone_to_work,smoking,flu_vac,some_college,social_association,traffic,black,hispanic,Rural.urban_Continuum_Code_2013,PCTPOVALL_2018,population.density,distance_one_week_before,distance_two_weeks_before,distance_three_weeks_before,cases_one_week_before,cases_two_weeks_before,cases_three_weeks_before,death_one_week_before,death_two_weeks_before,death_three_weeks_before,cumulative_dose,non_metro
1297,MN,Houston County,27055,2020/7/1,0.497900743,0.217192378,0.214877813,59613,18600,0.814209841,0.139979621,0.57,0.734589913,14.46945338,54.86602356,0.006243945,0.012434062,3,8.5,33.69199,-0.362951798,-0.271798419,-0.443091466,5.376344086,5.376344086,5.376344086,0,0,0,-0.144300532,0
631,IL,Randolph County,17157,2020/7/1,0.450071638,0.193203763,0.186008846,53607,31782,0.836061703,0.171981937,0.29,0.479664522,20.97276625,85.13469607,0.102784526,0.03120912,6,13.8,55.22502172,-0.323165018,-0.259344325,-0.394084011,342.9614247,182.4932352,129.0038387,3.146435089,3.146435089,0,-0.126372646,1
632,IL,Richland County,17159,2020/7/1,0.505233775,0.232696822,0.204783353,48152,15513,0.832251693,0.16866836,0.48,0.651731721,18.86673794,39.00279966,0.007739644,0.018334074,7,15,43.09286369,-0.233119348,-0.211303175,-0.282132055,19.33861922,12.89241282,6.446206408,0,0,0,-0.10251501,1
634,IL,St. Clair County,17163,2020/7/1,0.517584148,0.233943285,0.158052394,58222,259686,0.830331983,0.17634095,0.43,0.673717703,11.08660121,182.5253798,0.30285108,0.041753014,1,14.8,394.8035758,-0.316139085,-0.288952844,-0.344220227,155.1874187,106.2822024,77.78624955,9.241930639,6.931447979,3.080643546,-0.075528851,0
635,IL,Saline County,17165,2020/7/1,0.506441897,0.216682005,0.202668786,40761,23491,0.857717552,0.18731812,0.25,0.663793103,19.91535972,111.7208,0.037856605,0.018907387,6,20.3,61.84771734,-0.354821665,-0.260339243,-0.379201889,12.77084841,12.77084841,12.77084841,0,0,0,-0.093174317,1
636,IL,Sangamon County,17167,2020/7/1,0.520133301,0.221896308,0.17858898,62242,194672,0.836232192,0.16901596,0.51,0.70768328,19.03772932,216.4854853,0.127797572,0.023506767,3,13.1,224.1990096,-0.366575278,-0.336528906,-0.38337387,58.04635489,32.87581162,24.65685872,4.109476453,2.568422783,1.54105367,-0.124864226,0
948,KS,Wilson County,20205,2020/7/1,0.505020196,0.240969417,0.213964224,45697,8525,0.788739538,0.180943746,0.39,0.654231626,21.90201729,15.38529093,0.005654934,0.034045009,7,15.4,14.94512815,-0.367470488,-0.189586367,-0.396856348,11.73020528,11.73020528,0,0,0,0,-0.083572994,1
793,IA,Ida County,19093,2020/7/1,0.500803976,0.242069873,0.222043561,60312,6860,0.778871979,0.157601683,0.41,0.766642806,21.84996358,200.2141504,0.004239146,0.024557813,8,10.3,15.8976617,-0.183140622,-0.17809326,-0.326793546,0,0,0,0,0,0,-0.093814448,1
639,IL,Shelby County,17173,2020/7/1,0.502552781,0.213513638,0.225242629,56509,21634,0.876372549,0.156082807,0.46,0.594851234,17.03577513,54.68594524,0.003403707,0.01057909,6,10.2,28.52133101,-0.284552295,-0.216021934,-0.378043188,46.22353703,18.48941481,18.48941481,0,0,0,-0.077534503,1
640,IL,Stark County,17175,2020/7/1,0.504882992,0.215035932,0.222959278,52651,5342,0.794592413,0.158590731,0.45,0.542253521,18.40264998,18.80356021,0.008291874,0.020084761,2,11.2,18.54346015,-0.423452666,-0.341318604,-0.410275427,18.71958068,18.71958068,18.71958068,0,0,0,-0.16464771,0
641,IL,Stephenson County,17177,2020/7/1,0.513864992,0.213594619,0.227292025,47357,44498,0.790138822,0.161631535,0.47,0.666196878,15.09299951,107.0273543,0.09945702,0.041807253,4,12.7,78.82448806,-0.332918846,-0.289128629,-0.381177389,35.95667221,26.96750416,17.9783361,0,0,0,-0.092858247,1
